"season","c_m","zip3","ILIsum","popstatsum"
"10","A","337","2843","375969"
"10","C","337","5467","115165"
"10","A","338","1652","351530"
"10","C","338","4944","134059"
"10","A","339","1603","361453"
"10","C","339","4075","124269"
"10","A","341","696","178417"
"10","C","341","1760","61586"
"10","A","342","2572","356405"
"10","C","342","3943","116664"
"10","A","344","1409","200752"
"10","C","344","2458","67359"
"10","A","346","2693","326038"
"10","C","346","3121","107536"
"10","A","347","2210","322364"
"10","C","347","4787","118517"
"10","A","349","916","220424"
"10","C","349","3465","77831"
"10","A","350","2050","233692"
"10","C","350","1959","85550"
"10","A","351","1059","176229"
"10","C","351","873","64192"
"10","A","352","756","272264"
"10","C","352","268","99208"
"10","A","354","469","119673"
"10","C","354","358","44271"
"10","A","355","683","81486"
"10","C","355","972","28268"
"10","A","356","745","197083"
"10","C","356","1265","70180"
"10","A","357","724","114589"
"10","C","357","891","43801"
"10","A","358","763","103160"
"10","C","358","523","36436"
"10","A","359","1256","146066"
"10","C","359","2483","54267"
"10","A","360","2600","155506"
"10","C","360","1816","58418"
"10","A","361","2426","115011"
"10","C","361","1009","46940"
"10","A","362","908","95102"
"10","C","362","829","34714"
"10","A","363","642","120065"
"10","C","363","1926","46305"
"10","A","364","97","53438"
"10","C","364","72","20201"
"10","A","365","564","184630"
"10","C","365","1042","70654"
"10","A","366","725","149651"
"10","C","366","520","61059"
"10","A","367","191","58930"
"10","C","367","189","25598"
"10","A","368","500","132741"
"10","C","368","474","49018"
"10","A","369","34","9937"
"10","C","369","45","3865"
"10","A","370","4314","487169"
"10","C","370","8963","177832"
"10","A","371","3827","336912"
"10","C","371","6921","122651"
"10","A","372","1630","250055"
"10","C","372","2207","85972"
"10","A","373","1998","301642"
"10","C","373","3014","106500"
"10","A","374","493","108222"
"10","C","374","207","37062"
"10","A","376","1620","221341"
"10","C","376","2790","70604"
"10","A","377","1021","184730"
"10","C","377","1559","61530"
"10","A","378","1935","276781"
"10","C","378","3051","94005"
"10","A","379","843","221027"
"10","C","379","1360","74529"
"10","A","380","2038","216042"
"10","C","380","3618","81082"
"10","A","381","2511","408385"
"10","C","381","3178","166095"
"10","A","382","769","59448"
"10","C","382","1133","20820"
"10","A","383","2064","150282"
"10","C","383","2003","55915"
"10","A","384","2440","95799"
"10","C","384","2986","34294"
"10","A","385","1106","118667"
"10","C","385","2193","40896"
"10","A","386","2573","212434"
"10","C","386","3318","88975"
"10","A","387","766","66734"
"10","C","387","755","28422"
"10","A","388","1896","134426"
"10","C","388","2825","52738"
"10","A","389","317","59085"
"10","C","389","545","23939"
"10","A","390","503","147864"
"10","C","390","1436","61004"
"10","A","391","413","149960"
"10","C","391","1494","61500"
"10","A","392","342","128019"
"10","C","392","730","52987"
"10","A","393","250","106527"
"10","C","393","365","45014"
"10","A","394","1615","199549"
"10","C","394","2235","79604"
"10","A","395","726","194043"
"10","C","395","1720","78422"
"10","A","396","422","68030"
"10","C","396","789","27300"
"10","A","397","781","90672"
"10","C","397","945","35569"
"10","A","398","212","57763"
"10","C","398","464","23297"
"10","A","400","1969","138485"
"10","C","400","4719","49588"
"10","A","401","955","81105"
"10","C","401","1991","29958"
"10","A","402","5431","386982"
"10","C","402","10012","137987"
"10","A","403","1489","184782"
"10","C","403","3508","66656"
"10","A","404","1183","103724"
"10","C","404","2775","36180"
"10","A","405","1060","167300"
"10","C","405","2639","52244"
"10","A","406","368","27788"
"10","C","406","852","9008"
"10","A","407","402","58614"
"10","C","407","1833","21393"
"10","A","408","353","20900"
"10","C","408","562","7060"
"10","A","409","260","40118"
"10","C","409","566","13790"
"10","A","410","2456","269553"
"10","C","410","3134","100372"
"10","A","411","901","73964"
"10","C","411","1458","24832"
"10","A","412","304","27449"
"10","C","412","433","9340"
"10","A","413","188","20416"
"10","C","413","488","6768"
"10","A","414","126","15050"
"10","C","414","635","4557"
"10","A","415","499","38325"
"10","C","415","656","12176"
"10","A","416","288","23881"
"10","C","416","456","7499"
"10","A","417","347","23148"
"10","C","417","771","7633"
"10","A","418","47","17523"
"10","C","418","71","5592"
"10","A","420","912","118698"
"10","C","420","1760","39495"
"10","A","421","2094","115101"
"10","C","421","4631","40874"
"10","A","422","526","86419"
"10","C","422","977","37103"
"10","A","423","668","89043"
"10","C","423","1269","32697"
"10","A","424","438","72147"
"10","C","424","615","25573"
"10","A","425","928","40274"
"10","C","425","2274","14015"
"10","A","426","173","34364"
"10","C","426","283","12218"
"10","A","427","1663","93188"
"10","C","427","3242","33402"
"10","A","430","4266","424236"
"10","C","430","6397","161530"
"10","A","431","2336","221377"
"10","C","431","3036","81946"
"10","A","432","3883","426569"
"10","C","432","3389","150380"
"10","A","433","1205","99235"
"10","C","433","1384","35244"
"10","A","434","833","92657"
"10","C","434","958","32795"
"10","A","435","1116","156419"
"10","C","435","1697","57860"
"10","A","436","1317","186040"
"10","C","436","1455","72737"
"10","A","437","697","102352"
"10","C","437","1480","37114"
"10","A","438","475","33501"
"10","C","438","587","12686"
"10","A","439","708","93354"
"10","C","439","1439","30358"
"10","A","440","4226","462148"
"10","C","440","7399","168277"
"10","A","441","5456","644059"
"10","C","441","7857","240608"
"10","A","442","2200","309297"
"10","C","442","3218","111956"
"10","A","443","1036","151128"
"10","C","443","785","55298"
"10","A","444","988","185011"
"10","C","444","1334","62798"
"10","A","445","407","85274"
"10","C","445","466","30747"
"10","A","446","1804","237581"
"10","C","446","2540","90953"
"10","A","447","732","103789"
"10","C","447","985","37378"
"10","A","448","927","180110"
"10","C","448","2238","67615"
"10","A","449","160","51201"
"10","C","449","876","17076"
"10","A","450","3597","322183"
"10","C","450","5938","123206"
"10","A","451","1650","187122"
"10","C","451","3342","71556"
"10","A","452","4155","452911"
"10","C","452","3639","167814"
"10","A","453","2236","262409"
"10","C","453","3439","97058"
"10","A","454","2371","253782"
"10","C","454","3898","93893"
"10","A","455","343","53336"
"10","C","455","665","20395"
"10","A","456","1953","188270"
"10","C","456","3252","65392"
"10","A","457","350","86378"
"10","C","457","479","30052"
"10","A","458","1791","194316"
"10","C","458","2574","76097"
"10","A","460","608","280139"
"10","C","460","1380","112130"
"10","A","461","1598","292617"
"10","C","461","3016","109838"
"10","A","462","1367","489187"
"10","C","462","1898","186493"
"10","A","463","2723","353859"
"10","C","463","5437","131215"
"10","A","464","415","75433"
"10","C","464","577","33536"
"10","A","465","1779","253809"
"10","C","465","3640","105382"
"10","A","466","1045","76940"
"10","C","466","1901","31268"
"10","A","467","912","177520"
"10","C","467","1862","71207"
"10","A","468","1528","161136"
"10","C","468","2864","64788"
"10","A","469","463","163765"
"10","C","469","1164","60784"
"10","A","470","305","63137"
"10","C","470","464","23727"
"10","A","471","2606","157268"
"10","C","471","4900","55742"
"10","A","472","311","109847"
"10","C","472","540","41691"
"10","A","473","481","167795"
"10","C","473","1008","61399"
"10","A","474","981","146239"
"10","C","474","3270","49843"
"10","A","475","954","84553"
"10","C","475","2114","31727"
"10","A","476","581","68817"
"10","C","476","998","24881"
"10","A","477","658","95654"
"10","C","477","1506","34953"
"10","A","478","489","101453"
"10","C","478","920","35816"
"10","A","479","653","165990"
"10","C","479","1045","61330"
"10","A","480","4130","632995"
"10","C","480","6273","217608"
"10","A","481","4950","852146"
"10","C","481","7443","304635"
"10","A","482","1736","598492"
"10","C","482","2064","263429"
"10","A","483","2557","533752"
"10","C","483","4778","196983"
"10","A","484","1866","252315"
"10","C","484","2149","91139"
"10","A","485","726","107551"
"10","C","485","447","46024"
"10","A","486","1034","212339"
"10","C","486","1717","79664"
"10","A","487","633","108235"
"10","C","487","1106","37509"
"10","A","488","2101","356410"
"10","C","488","3182","127487"
"10","A","489","644","89433"
"10","C","489","757","32835"
"10","A","490","3867","407353"
"10","C","490","6264","151888"
"10","A","491","362","57937"
"10","C","491","963","20572"
"10","A","492","1140","195008"
"10","C","492","1901","71321"
"10","A","493","1657","175476"
"10","C","493","2820","71813"
"10","A","494","2128","306303"
"10","C","494","2500","121650"
"10","A","495","2267","226138"
"10","C","495","2943","88165"
"10","A","496","2082","142470"
"10","C","496","1701","48580"
"10","A","497","714","123271"
"10","C","497","1142","40287"
"10","A","498","614","98376"
"10","C","498","826","31248"
"10","A","499","173","42699"
"10","C","499","422","13846"
"10","A","500","162","126235"
"10","C","500","394","45464"
"10","A","501","516","88221"
"10","C","501","665","34256"
"10","A","502","346","117963"
"10","C","502","550","43374"
"10","A","503","176","152165"
"10","C","503","382","57410"
"10","A","504","120","53033"
"10","C","504","129","19631"
"10","A","505","258","61670"
"10","C","505","329","23508"
"10","A","506","253","87595"
