"season","c_m","zip3","ILIsum","popstatsum"
"1","A","714","26","99216"
"1","C","714","34","43832"
"1","A","717","17","59139"
"1","C","717","20","25646"
"1","A","718","64","62590"
"1","C","718","110","27989"
"1","A","724","6","107754"
"1","C","724","8","42914"
"1","A","725","101","51078"
"1","C","725","67","19657"
"1","A","730","682","308669"
"1","C","730","661","127448"
"1","A","731","669","311609"
"1","C","731","357","122759"
"1","A","734","108","41140"
"1","C","734","51","17869"
"1","A","735","133","105276"
"1","C","735","95","44783"
"1","A","736","24","27304"
"1","C","736","21","12613"
"1","A","737","155","51056"
"1","C","737","268","22031"
"1","A","738","15","14991"
"1","C","738","7","6628"
"1","A","740","599","275173"
"1","C","740","1318","116109"
"1","A","741","342","217474"
"1","C","741","699","80050"
"1","A","743","155","61380"
"1","C","743","136","25594"
"1","A","744","134","106168"
"1","C","744","104","45907"
"1","A","745","35","45422"
"1","C","745","47","18405"
"1","A","746","95","29203"
"1","C","746","125","12649"
"1","A","747","14","41928"
"1","C","747","41","18748"
"1","A","748","192","91903"
"1","C","748","234","39724"
"1","A","749","15","54581"
"1","C","749","10","24715"
"1","A","750","2415","885334"
"1","C","750","2235","327861"
"1","A","751","717","323483"
"1","C","751","801","140941"
"1","A","752","855","654528"
"1","C","752","921","234230"
"1","A","754","141","140228"
"1","C","754","138","59163"
"1","A","755","165","60348"
"1","C","755","202","25976"
"1","A","756","81","157975"
"1","C","756","51","70610"
"1","A","757","115","151016"
"1","C","757","137","63076"
"1","A","758","126","61155"
"1","C","758","64","22452"
"1","A","759","60","120314"
"1","C","759","18","53017"
"1","A","760","1689","534158"
"1","C","760","2872","201936"
"1","A","761","1155","403167"
"1","C","761","1827","157842"
"1","A","762","428","145724"
"1","C","762","1008","55359"
"1","A","763","58","89489"
"1","C","763","28","39545"
"1","A","764","109","63992"
"1","C","764","112","26795"
"1","A","765","213","205387"
"1","C","765","277","85743"
"1","A","766","126","73793"
"1","C","766","150","31271"
"1","A","767","59","77997"
"1","C","767","65","34782"
"1","A","770","721","1394024"
"1","C","770","4566","532748"
"1","A","773","615","420386"
"1","C","773","2913","174837"
"1","A","774","326","364030"
"1","C","774","1477","160396"
"1","A","775","325","535422"
"1","C","775","624","224771"
"1","A","776","30","142384"
"1","C","776","12","63051"
"1","A","778","228","130443"
"1","C","778","309","54474"
"1","A","779","65","81086"
"1","C","779","61","36991"
"1","A","780","83","207033"
"1","C","780","106","105543"
"1","A","781","118","148135"
"1","C","781","104","64381"
"1","A","782","379","705441"
"1","C","782","395","310823"
"1","A","783","62","119232"
"1","C","783","47","57818"
"1","A","784","34","150440"
"1","C","784","51","67445"
"1","A","785","179","461659"
"1","C","785","242","275461"
"1","A","786","278","282353"
"1","C","786","397","120141"
"1","A","787","472","435189"
"1","C","787","652","153599"
"1","A","789","34","29662"
