"season","c_m","zip3","ILI","popstat"
"1","O","262","37","92764"
"1","A","263","118","584987"
"1","C","263","188","243115"
"1","O","263","188","254655"
"1","A","264","48","267551"
"1","C","264","67","145915"
"1","O","264","70","107878"
"1","A","265","136","1163481"
"1","C","265","151","495215"
"1","O","265","121","302744"
"1","A","266","25","75430"
"1","C","266","11","19817"
"1","O","266","10","22437"
"1","A","267","41","176235"
"1","C","267","71","117561"
"1","O","267","79","124575"
"1","A","268","8","31293"
"1","C","268","11","19626"
"1","O","268","5","8984"
"1","A","270","145","1901846"
"1","C","270","208","783064"
"1","O","270","159","546237"
"1","A","271","143","1613425"
"1","C","271","79","445640"
"1","O","271","65","294284"
"1","A","272","379","4354313"
"1","C","272","473","1878669"
"1","O","272","397","1470315"
"1","A","273","139","2570358"
"1","C","273","162","923290"
"1","O","273","132","853910"
"1","A","274","16","489090"
"1","C","274","11","142248"
"1","O","274","5","60309"
"1","A","275","1352","10024708"
"1","C","275","2122","3555430"
"1","O","275","2267","3738643"
"1","A","276","488","4513549"
"1","C","276","915","1409543"
"1","O","276","795","964131"
"1","A","277","58","1117204"
"1","C","277","23","304157"
"1","O","277","36","231936"
"1","A","278","800","5429944"
"1","C","278","741","2278745"
"1","O","278","548","1883869"
"1","A","279","48","828811"
"1","C","279","51","338134"
"1","O","279","109","344287"
"1","A","280","602","6510294"
"1","C","280","840","2355550"
"1","O","280","829","2191467"
"1","A","281","475","4469004"
"1","C","281","365","1855380"
"1","O","281","280","1539615"
"1","A","282","275","5763201"
"1","C","282","269","2211654"
"1","O","282","146","1388789"
"1","A","283","975","8756265"
"1","C","283","1222","3548214"
"1","O","283","1491","3387354"
"1","A","284","598","4059191"
"1","C","284","466","1481065"
"1","O","284","453","1781528"
"1","A","285","542","5075994"
"1","C","285","567","1894284"
"1","O","285","628","1871250"
"1","A","286","465","6370492"
"1","C","286","1400","2391727"
"1","O","286","1969","2502978"
"1","A","287","453","5132735"
"1","C","287","319","1505746"
"1","O","287","294","2665366"
"1","A","288","97","683052"
"1","C","288","38","134793"
"1","O","288","35","186542"
"1","A","289","7","30254"
"1","C","289","2","3840"
"1","O","289","15","40581"
"1","A","290","388","3833614"
