"season","c_m","zip3","ILI","popstat"
"5","A","335","741","10098028"
"5","C","335","542","3440552"
"5","O","335","765","4630855"
"5","A","336","1362","12990498"
"5","C","336","714","4647871"
"5","O","336","1100","4489496"
"5","A","337","733","11968435"
"5","C","337","1172","4033417"
"5","O","337","1844","8009364"
"5","A","338","842","9974361"
"5","C","338","1442","4283939"
"5","O","338","1846","6252773"
"5","A","339","1074","9680787"
"5","C","339","2141","3587067"
"5","O","339","2363","7651276"
"5","A","341","314","4479831"
"5","C","341","243","1498124"
"5","O","341","277","3021310"
"5","A","342","673","10257150"
"5","C","342","1058","3702578"
"5","O","342","1560","8879122"
"5","A","344","230","4295796"
"5","C","344","1066","2151661"
"5","O","344","968","4118427"
"5","A","346","405","8158311"
"5","C","346","380","2756998"
"5","O","346","773","6391688"
"5","A","347","1243","8299067"
"5","C","347","1147","3242812"
"5","O","347","1643","3865472"
"5","A","349","406","4925195"
"5","C","349","693","2253438"
"5","O","349","713","3674862"
"5","A","350","115","3612626"
"5","C","350","184","1748509"
"5","O","350","153","1137000"
"5","A","351","120","2762128"
"5","C","351","130","1138508"
"5","O","351","113","627217"
"5","A","352","214","5313457"
"5","C","352","177","2295373"
"5","O","352","141","1545696"
"5","A","354","231","2773920"
"5","C","354","528","1197681"
"5","O","354","851","872587"
"5","A","355","164","1419493"
"5","C","355","106","536246"
"5","O","355","197","659946"
"5","A","356","126","3134269"
"5","C","356","238","1543006"
"5","O","356","419","1528140"
"5","A","357","35","701702"
"5","C","357","27","245883"
"5","O","357","37","214984"
"5","A","358","7","186380"
"5","C","358","12","119689"
"5","O","358","12","86314"
"5","A","359","166","4126285"
"5","C","359","220","1384366"
"5","O","359","409","2215353"
"5","A","360","227","3508811"
"5","C","360","482","1858883"
"5","O","360","677","1133194"
"5","A","361","255","2974250"
"5","C","361","303","1344468"
"5","O","361","593","783135"
"5","A","362","44","961564"
"5","C","362","26","243990"
"5","O","362","46","344914"
"5","A","363","23","582628"
"5","C","363","1980","1501005"
"5","O","363","1929","549726"
"5","A","364","63","489344"
"5","C","364","37","185703"
"5","O","364","60","200561"
"5","A","365","546","5115902"
"5","C","365","341","1947346"
"5","O","365","428","2167686"
"5","A","366","196","3097919"
"5","C","366","230","1443079"
"5","O","366","335","1259991"
"5","A","367","20","288443"
"5","C","367","36","274415"
"5","O","367","67","267925"
"5","A","368","102","1970860"
"5","C","368","66","560408"
"5","O","368","87","540995"
"5","A","370","2563","15117653"
"5","C","370","4390","5540217"
"5","O","370","4255","5198348"
"5","A","371","1564","10037968"
"5","C","371","2226","3555271"
"5","O","371","2342","3131015"
